longitude|latitude|start_date|end_date|source|horizon_lower|horizon_upper|aluminium_extractable|boron_extractable|calcium_extractable|carbon_organic|carbon_total|copper_extractable|electrical_conductivity|iron_extractable|magnesium_extractable|manganese_extractable|nitrogen_total|ph|phosphorus_extractable|potassium_extractable|sodium_extractable|sulphur_extractable|zinc_extractable
35.63178|-8.56228|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1356.7||719.135|30.08|28.41|3.061||96.919|145.595|62.363|1.86|5.099||90.128|||
35.61037|-8.5618|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1312.383||1038.547|32.02|31.29|2.51||105.358|214.413|73.731|2.22|5.439||154.074|||
35.18794|-8.56072|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1263.497||124.056|10.94|11.37|1.472||56.165|75.689|40.327|0.69|5.39||67.028|||
35.6311|-8.56037|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1210.816||716.474|22.74|19.82|1.641||170.075|176.947|137.026|1.46|4.891||160.711|||
35.10951|-8.55941|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1394.501||171.557|13.93|13.06|1.679||54.121|111.66|37.824|0.86|5.406||68.353|||
35.10978|-8.55936|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1297.875||355.329|11.88|10.93|1.27||53.063|104.897|23.992|0.66|5.401||94.721|||
35.15874|-8.55926|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1395.972||148.632|11.18|9.63|1.472||62.357|110.167|38.401|0.66|5.385||103.706|||
35.61705|-8.55917|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1121.392||806.663|20.14|15.48|2.309||83.586|171.047|91.689|1.28|5.807||142.871|||
35.11605|-8.55783|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|885.013||520.326|10.76|9.43|1.888||72.842|116.623|72.528|0.7|5.852||124.865|||
35.116|-8.55745|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1036.518||358.35|8.38|8.27|1.8||73.071|87.468|28.223|0.45|5.506||81.455|||
35.11427|-8.55745|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1210.469||159.349|10.02|10.32|1.599||60.219|57.46|19.235|0.5|5.607||82.976|||
35.15987|-8.55718|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1202.783||188.418|9.29|11.18|1.66||71.544|71.745|72.015|0.62|5.78||95.651|||
35.61089|-8.55697|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1116.255||892.668|25.55|23.63|2.046||107.934|172.242|88.463|1.57|5.584||141.655|||
35.63492|-8.55615|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1511.199||534.344|28.26|26.57|1.785||119.817|110.075|76.051|1.76|4.758||174.128|||
35.18715|-8.55483|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1378.737||221.83|17.75|15.34|1.395||63.368|81.773|35.217|1.07|5.269||67.162|||
35.15562|-8.55457|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1331.264||1119.209|14.19|12.19|2.732||117.045|380.78|182.107|1.03|5.556||217.265|||
35.63915|-8.55422|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1583.736||321.809|20.31|18.37|0.884||104.701|72.219|35.543|1.28|4.867||112.44|||
35.18427|-8.55406|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1232.503||172.976|10.91|11.57|0.891||53.393|122.304|53.44|0.65|5.551||70.901|||
35.18426|-8.55386|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1233.371||171.211|10.92|11.14|0.699||47.28|134.835|42.696|0.84|5.498||183.745|||
35.56781|-8.5537|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1323.225||538.926|11.01|10.91|2.212||127.225|161.843|84.353|0.72|5.7||318.604|||
35.44705|-8.55367|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1448.265||1050.031|25.8|24.1|1.174||112.472|172.257|96.53|1.77|5.623||128.965|||
